bps_model_id,symbol,scientific_name,common_name
10490_19_20_21_23_28_29,ARNO4,Artemisia nova,Black sagebrush
10490_19_20_21_23_28_29,ARTR2,Artemisia tridentata,Big sagebrush
10490_19_20_21_23_28_29,BOGR2,Bouteloua gracilis,Blue grama
10490_19_20_21_23_28_29,LEKI2,Leucopoa kingii,Spike fescue
10490_19_20_21_23_28_29,POSE,Poa secunda,Sandberg bluegrass
10500_16_23_28,PICO,Pinus contorta,Lodgepole pine
10500_16_23_28,VASC,Vaccinium scoparium,Grouse whortleberry
10500_16_23_28,VAMYO,Vaccinium myrtillus var. oreophilum,Whortleberry
10500_16_23_28,VASC,Vaccinium scoparium,Grouse whortleberry
10500_16_23_28,ABLA,Abies lasiocarpa,Subalpine fir
10500_18,PICO,Pinus contorta,Lodgepole pine
10500_18,VASC,Vaccinium scoparium,Grouse whortleberry
10500_18,VAMYO,Vaccinium myrtillus var. oreophilum,Whortleberry
10500_18,VASC,Vaccinium scoparium,Grouse whortleberry
10500_18,ABLA,Abies lasiocarpa,Subalpine fir
10500_22,PICO,Pinus contorta,Lodgepole pine
10500_22,VASC,Vaccinium scoparium,Grouse whortleberry
10500_22,ABLA,Abies lasiocarpa,Subalpine fir
10500_22,PIEN,Picea engelmannii,Engelmann spruce
10500_22,ARCO9,Arnica cordifolia,Heartleaf arnica
10500_22,MARE11,Mahonia repens,Creeping barberry
10500_22,CAGE2,Carex geyeri,Geyer's sedge
10510_15_16_17_22_23_24_25,PSEUD7,Pseudotsuga,Douglas-fir
10510_15_16_17_22_23_24_25,ABCO,Abies concolor,White fir
10510_15_16_17_22_23_24_25,PIPO,Pinus ponderosa,Ponderosa pine
10510_15_16_17_22_23_24_25,PICO,Pinus contorta,Lodgepole pine
